=============== 16-byte bucket profile of the current best ===============
overclock     requesting 400000 kHz

emulator      yax86
target        rp2040
opt           -O3
guest_ram_kb  128
sys_clk_khz   400000
state_bytes   2952

Select a workload, or wait 5 seconds to run all:
  1  compute
  2  strings
  3  cga
  4  dos-boot
  a  all

workload      dos-boot
seconds       6.291482
instructions  2324726
emulated_cyc  27724061
mips          0.36
emulated_mhz  4.40
speed_vs_8088 0.9x

profile_samples 314574
profile_bucket 16
profile_elsewhere 18826
p 20000160 4
p 20000170 3
p 20000200 24
p 20000210 24
p 20000220 17
p 200002d0 1
p 200002e0 3
p 200002f0 2279
p 20000300 2860
p 20000310 3850
p 20000320 2421
p 20000330 2324
p 20000340 8
p 20000350 165
p 20000360 259
p 20000370 257
p 20000380 52
p 20000a70 1221
p 20000a80 1140
p 20000a90 782
p 20000aa0 927
p 20000ab0 529
p 20000ac0 174
p 20000ba0 1208
p 20000bb0 792
p 20000bc0 252
p 20000bd0 125
p 20000be0 1
p 20000bf0 1
p 20000c00 2
p 20000c10 2
p 20000c20 1
p 20000c40 2
p 20000d10 4
p 20000d30 3
p 20000d40 1
p 20001120 6
p 20001130 14
p 20001140 3
p 20001150 7
p 20001160 10
p 20001170 5
p 200011d0 11
p 200011e0 13
p 200011f0 10
p 20001200 8
p 20001390 680
p 200013a0 274
p 200013b0 183
p 200013c0 578
p 200013d0 431
p 200013e0 201
p 200013f0 717
p 20001400 131
p 20001420 565
p 20001430 453
p 20001440 39
p 20001450 73
p 20001460 260
p 20001470 75
p 200015f0 1
p 20001640 1
p 200016b0 2
p 20001840 1
p 20001890 88
p 200018a0 140
p 200018b0 273
p 200018c0 208
p 200018d0 51
p 200018e0 58
p 200018f0 64
p 20001980 469
p 20001990 827
p 200019a0 983
p 200019b0 583
p 200019c0 138
p 200019d0 137
p 200019e0 310
p 20001b20 1
p 20001bd0 1
p 20001c40 11
p 20001c50 116
p 20001c60 9
p 20001c70 5
p 20001d50 1
p 20001fe0 1
p 20002080 1
p 200026a0 1
p 200026b0 2
p 20002bc0 10
p 20002bd0 12
p 20002be0 6
p 20002c30 1
p 20002d00 1
p 20002d40 2
p 20002df0 1
p 20002e00 1
p 20002e20 1
p 20002e90 3387
p 20002ea0 1819
p 20002f00 1
p 20002f20 3267
p 200030b0 11
p 200030c0 10
p 200030d0 3
p 20003130 11
p 200031d0 4
p 200031e0 11
p 20003400 198
p 20003410 265
p 20003420 763
p 20003430 289
p 20003440 13
p 20003450 391
p 20003460 745
p 20003470 635
p 20003480 388
p 20003760 2985
p 20003770 1287
p 200037b0 10
p 200037c0 1276
p 200037d0 96
p 200037e0 61
p 200037f0 1275
p 20003800 503
p 20003a20 1843
p 20003a30 1330
p 20003a40 1320
p 20003a50 1355
p 20003a60 1185
p 20003a70 1702
p 20003a80 1840
p 20003ab0 2222
p 20003ac0 2110
p 20003ad0 887
p 20003ae0 121
p 20003af0 77
p 20003b00 396
p 20003b10 4707
p 20003b20 1715
p 20003b30 637
p 20003b40 2566
p 20003b50 333
p 20003b60 496
p 20003b70 359
p 20003b80 692
p 20003b90 416
p 20003ba0 20
p 20003bb0 24
p 20003bc0 13
p 20003bd0 9
p 20003be0 30
p 20003bf0 94
p 20003c00 79
p 20003c10 30
p 20003c20 11
p 20003c30 1
p 20003c40 67
p 20003c50 98
p 20003c60 117
p 20003c70 22
p 20003c80 12
p 20003ca0 244
p 20003cb0 670
p 20003cc0 569
p 20003cd0 463
p 20003ce0 819
p 20003cf0 525
p 20003d00 772
p 20003d10 1693
p 20003d20 1131
p 20003d30 484
p 20003d40 925
p 20003d50 1833
p 20003d60 835
p 20003d70 1479
p 20003d80 533
p 20003d90 220
p 20003da0 56
p 20003dd0 10
p 20003de0 191
p 20003df0 15
p 20003e10 3
p 20003e20 5
p 20003e30 2
p 20003e40 2
p 20003e50 4
p 20003e60 3
p 20003e70 3
p 20003e80 1
p 20003e90 2
p 20003ea0 3
p 20003ec0 4
p 20003ed0 1
p 20003ee0 1
p 20003f00 1
p 20003f20 3
p 20003f30 17
p 20003f40 5
p 20003f50 14
p 20003f60 23
p 20003f70 3
p 20003f80 5
p 20003f90 5
p 20003fa0 7
p 20003fb0 5
p 20003fc0 2
p 20003fd0 4
p 20003fe0 53
p 20003ff0 7
p 20004000 16
p 20004010 38
p 20004020 2
p 20004030 5
p 20004040 55
p 20004050 82
p 20004060 77
p 20004070 48
p 20004080 34
p 20004090 15
p 200040a0 5
p 200040b0 7
p 200040c0 14
p 200040d0 11
p 200040e0 419
p 200040f0 721
p 20004100 298
p 20004110 180
p 20004120 44
p 20004130 28
p 20004140 16
p 20004150 9
p 20004160 13
p 20004170 5
p 20004180 1
p 20004190 6
p 200041a0 11
p 200041b0 13
p 200041d0 2
p 200041f0 1
p 20004200 59
p 20004210 1
p 20004220 60
p 20004230 60
p 20004250 59
p 20004260 1
p 20004270 61
p 20004290 61
p 200042b0 59
p 200042d0 59
p 200042e0 1
p 200042f0 60
p 20004310 1
p 20004330 1
p 20004370 61
p 200043d0 1
p 200043e0 1
p 200043f0 1
p 20004410 1
p 20004460 1
p 20004480 1
p 20004490 5
p 200044a0 7
p 200044b0 4
p 200044c0 12
p 200044d0 2
p 200044e0 6
p 200044f0 18
p 20004500 18
p 20004510 28
p 20004520 36
p 20004530 15
p 20004540 28
p 20004550 5
p 20004560 3
p 20004570 6
p 20004580 6
p 20004590 2
p 200045a0 2
p 200045b0 4
p 200045c0 9
p 200045d0 1
p 20004660 11
p 20004670 22
p 20004680 24
p 20004690 10
p 200046a0 17
p 200046b0 7
p 200046c0 87
p 200046d0 129
p 200046e0 122
p 200046f0 69
p 20004700 97
p 20004790 1
p 200047a0 1
p 200047c0 1
p 200047d0 3
p 200047e0 1
p 200047f0 1
p 20004810 3
p 20004820 3
p 20004830 1
p 20004840 3
p 20004850 2
p 20004860 3
p 20004870 1
p 20004880 3
p 20004890 4
p 200048a0 1
p 200048b0 1
p 200048d0 1
p 200048f0 1
p 20004910 2
p 20004930 3
p 20004970 1
p 200049a0 1
p 200049b0 5096
p 200049c0 3886
p 200049d0 3005
p 200049e0 3287
p 200049f0 2043
p 20004a00 1642
p 20004a10 2
p 20004a20 6
p 20004a30 2
p 20004a70 2094
p 20004a80 1777
p 20004a90 2832
p 20004aa0 2989
p 20004ab0 2467
p 20004ac0 2368
p 20004ad0 3932
p 20004ae0 1597
p 20004af0 1122
p 20004b00 1994
p 20004b10 34
p 20004b50 1960
p 20004b60 5719
p 20004b70 35
p 20004ba0 303
p 20004bb0 6
p 20004bc0 17
p 20004bd0 674
p 20004be0 151
p 20004c00 615
p 20004c10 975
p 20004c20 1083
p 20004c30 830
p 20004c40 1489
p 20004c50 117
p 20004c60 662
p 20004c70 565
p 20004c80 142
p 20004ce0 614
p 20004cf0 9
p 20004d00 18
p 20004d10 10
p 20004d20 4
p 20004d30 1494
p 20004d40 2976
p 20004d60 1531
p 20004d70 9
p 20004d80 2
p 20004d90 5
p 20004da0 3
p 20004dc0 30
p 20004dd0 563
p 20004de0 562
p 20004e00 405
p 20004e10 703
p 20004eb0 1276
p 20004ec0 501
p 20004ed0 5
p 20004f30 702
p 20004f40 57
p 20004f50 18
p 20004f60 838
p 200050c0 32
p 200050d0 64
p 200050e0 50
p 200050f0 56
p 20005100 57
p 20005110 8
p 20005270 160
p 20005280 147
p 20005290 124
p 200052a0 113
p 200052b0 155
p 200052c0 45
p 20005300 141
p 20005310 130
p 20005320 35
p 20005330 1
p 20005340 1
p 20005360 312
p 20005370 160
p 20005380 122
p 20005390 106
p 200053a0 36
p 200053b0 69
p 20005440 140
p 20005450 41
p 20005480 113
p 20005490 134
p 200054b0 1
p 200054c0 1
p 200054e0 1
p 20005510 1
p 20005530 1
p 20005540 92
p 20005550 161
p 20005560 142
p 20005570 565
p 20005580 188
p 20005590 159
p 200055a0 126
p 200055b0 157
p 200055c0 71
p 20005650 156
p 20005660 1
p 200056a0 74
p 200056c0 1
p 200056e0 1
p 200059b0 209
p 200059c0 117
p 200059d0 277
p 200059e0 254
p 200059f0 217
p 20005a00 88
p 20005a10 279
p 20005a30 2
p 20005a40 1
p 20005a60 2
p 20005a70 1
p 20005a80 1
p 20005a90 3
p 20005aa0 2
p 20005ab0 1
p 20005ae0 1
p 20005af0 1642
p 20005b00 1144
p 20005b10 230
p 20005b20 359
p 20005b30 17
p 20005b40 12
p 20005b50 10
p 20005b60 1486
p 20005b70 14
p 20005b80 13
p 20005b90 8
p 20005ba0 5
p 20005bb0 5
p 20005bc0 4
p 20005bd0 3
p 20005be0 6
p 20005bf0 2
p 20005c00 4
p 20005c10 8
p 20005c20 4
p 20005c30 3
p 20005c70 3
p 20005c80 3
p 20005c90 1
p 20005ca0 6
p 20005cb0 3
p 20005ce0 2
p 20005cf0 1
p 20005d10 4
p 20005d40 1
p 20005d90 1
p 20005dc0 1
p 20005e00 51
p 20005e10 31
p 20005e20 23
p 20005e30 70
p 20005e40 46
p 20005e50 22
p 20005e60 113
p 20005e70 8
p 20005f90 373
p 20005fa0 308
p 20005fb0 202
p 20005fc0 95
p 20005fd0 211
p 20005fe0 52
p 20005ff0 900
p 20006000 448
p 20006010 997
p 20006020 399
p 20006030 274
p 20006040 2
p 20006050 40
p 20006060 740
p 20006070 370
p 20006090 671
p 200060a0 241
p 200060b0 61
p 200060c0 239
p 200060d0 4
p 20006220 16
p 20006270 1
p 20006280 1185
p 20006290 206
p 200062a0 111
p 200062b0 333
p 200062c0 447
p 200062d0 718
p 200062e0 875
p 200062f0 155
p 20006310 1
p 20006340 1
p 20006350 1
p 20006370 49
p 20006380 198
p 20006390 74
p 200063a0 25
p 200063b0 35
p 200063c0 40
p 200063d0 84
p 200063e0 93
p 200063f0 94
p 20006400 67
p 20006410 77
p 20006420 79
p 20006430 203
p 20006440 10
p 20006450 45
p 20006460 119
p 20006470 33
p 20006480 48
p 20006490 17
p 200064e0 1
p 200065e0 15
p 200065f0 20
p 20006610 1
p 20006620 1
p 20006640 94
p 20006650 75
p 20006660 118
p 20006670 72
p 20006680 69
p 20006690 132
p 200066a0 95
p 200066b0 98
p 200066e0 2
p 20006700 1
p 20006710 2
p 20006720 1
p 20006750 2
p 20006760 1
p 200067d0 1
p 20006800 1
p 20006a30 1
p 20006ca0 1
p 20006d00 2
p 20006d30 1
p 20006d50 1
p 20006dd0 1
p 20006e30 1
p 20006e80 39
p 20006e90 12
p 20006ea0 6
p 20006eb0 20
p 20006ec0 17
p 20006ed0 33
p 20006ee0 56
p 20006ef0 24
p 20006f00 14
p 20006f10 1
p 20006f20 9
p 20006f30 11
p 20006f40 3
p 20006f50 3
p 20006f60 5
p 20006f70 9
p 20006f80 10
p 20006f90 4
p 20006fa0 15
p 20006fb0 13
p 20006fc0 9
p 20006fd0 3
p 20006ff0 1
p 20007010 4
p 20007020 1
p 20007040 93
p 20007050 13
p 20007060 66
p 20007070 49
p 20007080 31
p 20007090 79
p 200070a0 56
p 200070b0 42
p 200070c0 50
p 200070d0 44
p 200070e0 51
p 200070f0 30
p 20007130 1
p 20007180 3
p 200071c0 2
p 200071d0 2
p 200071e0 5
p 200071f0 1
p 20007200 6
p 20007250 1
p 20007310 1
